Accession ID	Name	CS Number	Country	Lat
88	CYR	CS76790	FRA	47.4
91	JEA		FRA	43.6833
108	LDV-18	CS77013	FRA	48.5167
139	LDV-46	CS77014	FRA	48.5167
159	MAR2-3	CS77070	FRA	47.35
265	PYL-6	CS77198	FRA	44.65
350	TOU-A1-88	CS77382	FRA	46.6667
351	TOU-A1-89	CS77383	FRA	46.6667
403	Zdarec3	CS78873	CZE	49.3667
410	Doubravnik7	CS76808	CZE	49.4211
424	Draha2	CS76812	CZE	49.4112
428	Borky1	CS76718	CZE	49.403
630	LI-OF-065	CS77036	USA	40.7777
801	KYC-33	CS76992	USA	37.9169
870	MIC-31	CS77082	USA	41.8266
915	LIN S-5	CS77040	USA	41.8972
932	CHA-41	CS76765	USA	42.3634
1829	Mdn-1	CS77077	USA	42.051
1853	MNF-Pot-21	CS77099	USA	43.595
1872	MNF-Pot-75	CS77100	USA	43.595
1890	MNF-Riv-21	CS77101	USA	43.5139
1925	MNF-Che-2	CS77096	USA	43.5251
1954	MNF-Jac-12	CS77097	USA	43.5187
2016	MNF-Pin-39	CS77098	USA	43.5356
2171	Paw-26	CS77164	USA	42.148
2276	SLSP-31	CS77254	USA	43.665
2278	SLSP-35	CS77255	USA	43.665
4779	UKSW06-179	CS78808	UK	50.4
4807	UKSW06-207	CS78809	UK	50.4
4826	UKSW06-226	CS78810	UK	50.4
4884	UKSW06-285	CS78811	UK	50.3
4900	UKSW06-302	CS78812	UK	50.3
4931	UKSW06-333		UK	50.327643
4958	UKSW06-360	CS78814	UK	50.5
5023	UKSE06-118	CS78799	UK	51.3
5104	UKSE06-252	CS78800	UK	51.3
5151	UKSE06-325	CS78801	UK	52.2
5165	UKSE06-362	CS78802	UK	51.3
5210	UKSE06-432	CS78803	UK	51.2
5236	UKSE06-470	CS78804	UK	51.2
5253	UKSE06-500	CS78805	UK	51.1
5276	UKSE06-533	CS78806	UK	51.3
5353	UKNW06-003	CS78792	UK	54.5
5577	UKNW06-403	CS78797	UK	54.7
