gene	cluster_old	pi	pi.alnlen	pi.pairalnlen	cluster
AT1G17600	SOC3	0.558272632674295	0.00135174971591839	0.00135868264733979	SOC3
AT1G17610	SOC3	0.716441207075963	0.00180919496736354	0.00216579181343366	SOC3
AT1G17615	SOC3	0.64004596380351	0.00151311102554021	0.00153610802447949	SOC3
AT1G27170	singleton	63.2174079999962	0.148050135831373	0.155243368371345	cAT1G27170
AT1G27180	singleton	65.9669999999985	0.14757718120805	0.16658809517422	cAT1G27170
AT1G31540	singleton	4.98583984375	0.0122502207463145	0.0123562303425294	singleton
AT1G56510	B1_ADR2-WRR4	6.15844273426897	0.0148039488804543	0.0151417200742693	B1_ADR2-WRR4
AT1G56520	B1_ADR2-WRR4	19.8756287151347	0.0470986462443951	0.0480338496115138	B1_ADR2-WRR4
AT1G56540	B1_ADR2-WRR4	13.7695109261187	0.0330204098947691	0.0333135723806549	B1_ADR2-WRR4
AT1G63730	B4_RLM1	1.43888888888888	0.0034423179160021	0.0034964011291226	B4_RLM1
AT1G63740	B4_RLM1	3.4066587395957	0.00807265104169597	0.00829764255850018	B4_RLM1
AT1G63750	B4_RLM1	1.38277777777778	0.00334004294149222	0.00342006613541819	B4_RLM1
AT1G63860	B4_RLM1	26.6868622448977	0.0641511111656195	0.0644906871373507	B4_RLM1
AT1G63870	B4_RLM1	15.0267774699908	0.0362091023373273	0.0363199903300505	B4_RLM1
AT1G63880	B4_RLM1	9.9033203125	0.0236921538576555	0.0243984866103061	B4_RLM1
AT1G64070	B4_RLM1	16.1849332325524	0.0390940416245228	0.0390964788966022	B4_RLM1
AT1G65850	singleton	39.7315995455117	0.067456026393059	0.0733167223864898	singleton
AT1G66090	B1_ADR2-WRR4	2.63140358184092	0.00654578005433065	0.00655081068937724	B1_ADR2-WRR4
AT1G69550	singleton	15.2168771835529	0.0364913121907743	0.0368471423497497	singleton
AT1G72840	B5	0	0	0	B5
AT1G72850	B5	0.710000000000001	0.00186351706036746	0.00186351706036745	B5
AT1G72860	B5	4.1360544217687	0.0100633927536951	0.0100633927536952	B5
AT1G72870	B5	2.14	0.0054040404040404	0.00546877254689755	B5
AT1G72890	B5	2.91609977324259	0.00643730634269887	0.00710673455402959	B5
AT1G72900	B5	20.4494834971026	0.0483439326172638	0.0486213958182677	B5
AT1G72910	B5	1.17573696145124	0.00285373048895933	0.00287401796532171	B5
AT1G72920	B5	8.37573562698052	0.0192989300160841	0.0201118354038347	B5
AT1G72930	B5	7.38775510204081	0.0175481118813321	0.0181002288620848	B5
AT1G72940	B5	7.22903033908385	0.0172119769978187	0.0172119769978189	B5
AT1G72950	B5	4.91588282719704	0.0117886878350049	0.011788687835005	B5
AT2G14080	singleton	8.31841831425604	0.0200927978605218	0.0203636956667046	singleton
AT2G16870	singleton	33.6745679012345	0.0803688971389846	0.084173086978854	singleton
AT2G17050	singleton	1.72314453125	0.00411251678102625	0.00432696920213741	cAT2G17050
AT2G17060	singleton	1.84888888888889	0.00445515394912987	0.00450920532793908	cAT2G17050
AT3G04210	singleton	0.546597633136092	0.00133642453089509	0.00133970008121592	cAT3G04210
AT3G04220	singleton	0.529393659587561	0.00118964867323048	0.00128964135032081	cAT3G04210
AT3G25510	singleton	55.9581995765316	0.0373552734155752	0.14797314791794	singleton
AT3G44400	DM2_RPP1	3.68836565096953	0.00635925112236126	0.0088819456604873	DM2_RPP1
AT3G44480	DM2_RPP1	1.125	0.00271739130434783	0.00271739130434783	DM2_RPP1
AT3G44630	DM2_RPP1	26.4032406665589	0.036418262988357	0.0639851461761783	DM2_RPP1
AT3G44670	DM2_RPP1	8.12093523246443	0.0192439223518115	0.0203101462752339	DM2_RPP1
AT3G51560	LCD9	1.28583740304511	0.00354225179902235	0.00394462364466741	LCD9
AT3G51570	LCD9	1.0011111111111	0.00237793613090522	0.00245661461753818	LCD9
AT4G08450	singleton	0.575555555555548	0.00144249512670563	0.00144249512670566	singleton
AT4G09420	singleton	0.228373702422145	0.000581103568504186	0.000585573595954218	cAT4G09360
AT4G09430	singleton	0.415123456790125	0.000993118317679724	0.00103236572510866	cAT4G09360
AT4G11170	singleton	4.34076861058856	0.0102376618174259	0.0107678164684613	singleton
AT4G12010	singleton	16.210128495843	0.0384126267674004	0.0391360040148368	cAT4G12010
AT4G12020	singleton	11.2897923875433	0.0328191639172771	0.0335471737886346	cAT4G12010
AT4G14370	singleton	9.87877211238298	0.0236334261061794	0.0241179997700889	singleton
AT4G16860	DM8_RPP4-5	12.2944849115505	0.0261029403642262	0.0300359969892466	DM8_RPP4-5
AT4G16890	DM8_RPP4-5	5.69550173010385	0.0138576684430751	0.0140110598249743	DM8_RPP4-5
AT4G16900	DM8_RPP4-5	21.5820576717693	0.050781312168869	0.0560517959579463	DM8_RPP4-5
AT4G16920	DM8_RPP4-5	10.8619430241052	0.0262365773529111	0.026604066906527	DM8_RPP4-5
AT4G16940	DM8_RPP4-5	0	0	0	DM8_RPP4-5
AT4G16950	DM8_RPP4-5	3.66396604938274	0.0086008592708515	0.0087674016874666	DM8_RPP4-5
AT4G16960	DM8_RPP4-5	11.454491374182	0.0255680611030848	0.0282835687858846	DM8_RPP4-5
AT4G16990	DM8_RPP4-5	3.45799853907961	0.00829256244383599	0.00840670476209053	DM8_RPP4-5
AT4G19500	RPP2	73.4850000000004	0.171293706293707	0.271482138316805	RPP2
