gene	cluster_old	pi	pi.alnlen	pi.pairalnlen	cluster
AT1G17600	SOC3	0.558272632674295	0.00135832757341678	0.00135868264733979	SOC3
AT1G17610	SOC3	0.7159209157128	0.00211186110829735	0.00216438602723863	SOC3
AT1G17615	SOC3	0.6394714162597	0.001533504595347	0.00153474677286248	SOC3
AT1G27170	singleton	63.2174079999962	0.148397671361493	0.155243368371345	cAT1G27170
AT1G27180	singleton	65.9381999999986	0.151582068965514	0.16652031887943	cAT1G27170
AT1G31540	singleton	4.98583984375	0.0123107156635802	0.0123562303425294	singleton
AT1G56510	B1_ADR2-WRR4	6.15844273426897	0.0148754655417125	0.0151417200742693	B1_ADR2-WRR4
AT1G56520	B1_ADR2-WRR4	19.8756287151347	0.0480087650124028	0.0480338815477716	B1_ADR2-WRR4
AT1G56540	B1_ADR2-WRR4	13.7695109261187	0.0332596882273399	0.0333135723806549	B1_ADR2-WRR4
AT1G63730	B4_RLM1	1.43833333333332	0.00347423510466986	0.00349508184231353	B4_RLM1
AT1G63740	B4_RLM1	1.97800237812131	0.00622013326453243	0.00628174461976039	B4_RLM1
AT1G63750	B4_RLM1	1.38277777777778	0.00334004294149222	0.00342006613541819	B4_RLM1
AT1G63860	B4_RLM1	26.6868622448977	0.0644610199152118	0.0644906871373507	B4_RLM1
AT1G63870	B4_RLM1	15.0267774699908	0.0362965639371759	0.0363199903300505	B4_RLM1
AT1G63880	B4_RLM1	9.9033203125	0.0239210635567633	0.0243984866103061	B4_RLM1
AT1G64070	B4_RLM1	16.1849332325524	0.0390940416245228	0.0390964788966022	B4_RLM1
AT1G65850	singleton	27.2458022976897	0.0662914897754008	0.0674393237708394	singleton
AT1G66090	B1_ADR2-WRR4	2.63140358184092	0.00654578005433065	0.00655081068937724	B1_ADR2-WRR4
AT1G69550	singleton	15.2168771835529	0.0367557419892581	0.0368484406345856	singleton
AT1G72840	B5	0	0	0	B5
AT1G72850	B5	0.710000000000001	0.00186351706036746	0.00186351706036745	B5
AT1G72860	B5	4.1360544217687	0.0100633927536951	0.0100633927536952	B5
AT1G72870	B5	2.14	0.0054040404040404	0.00546877254689755	B5
AT1G72890	B5	2.91609977324259	0.00699304501976639	0.00710673455402959	B5
AT1G72900	B5	20.4323507180651	0.0486484540906311	0.0486823768431878	B5
AT1G72910	B5	1.17573696145124	0.00292471880958021	0.00292865605664906	B5
AT1G72920	B5	8.37573562698052	0.0199422276832869	0.0201123006592576	B5
AT1G72930	B5	7.34467120181405	0.0182703263726718	0.0183292397706501	B5
AT1G72940	B5	7.22903033908385	0.0172119769978187	0.0172119769978189	B5
AT1G72950	B5	4.91588282719704	0.0117886878350049	0.011788687835005	B5
AT2G14080	singleton	8.31841831425604	0.0200927978605218	0.0203636956667046	singleton
AT2G16870	singleton	33.6743209876543	0.0819326544711783	0.0841751495710842	singleton
AT2G17050	singleton	1.72314453125	0.00416218485809179	0.00432696920213741	cAT2G17050
AT2G17060	singleton	1.84888888888889	0.00449851311165181	0.00450920532793908	cAT2G17050
AT3G04210	singleton	0.546597633136092	0.00133970008121591	0.00133970008121592	cAT3G04210
AT3G04220	singleton	0.529393659587561	0.00127872864634677	0.00128964135032081	cAT3G04210
AT3G25510	singleton	52.5368485759171	0.12690060042492	0.149359499928272	singleton
AT3G44400	DM2_RPP1	3.65927977839336	0.0088388400444284	0.00884209216533157	DM2_RPP1
AT3G44480	DM2_RPP1	1.125	0.00271739130434783	0.00271739130434783	DM2_RPP1
AT3G44630	DM2_RPP1	26.3489024194831	0.0636446918345002	0.0640928152127483	DM2_RPP1
AT3G44670	DM2_RPP1	8.12093523246443	0.0196157855856629	0.0203101462752339	DM2_RPP1
AT3G51560	LCD9	1.28583740304511	0.00393222447414408	0.00394462364466741	LCD9
AT3G51570	LCD9	1.0011111111111	0.00245370370370367	0.00245661461753818	LCD9
AT4G08450	singleton	0.575555555555548	0.00144249512670563	0.00144249512670566	singleton
AT4G09420	singleton	0.228373702422145	0.000585573595954218	0.000585573595954218	cAT4G09360
AT4G09430	singleton	0.415123456790125	0.00101745945291697	0.00103236572510866	cAT4G09360
AT4G11170	singleton	4.34076861058856	0.010484948334755	0.0107678434785141	singleton
AT4G12010	singleton	16.210128495843	0.0385955440377214	0.0391360040148368	cAT4G12010
AT4G12020	singleton	11.2897923875433	0.0333032223821337	0.0335471737886346	cAT4G12010
AT4G14370	singleton	7.1800208116546	0.022578681797656	0.0225808908398103	singleton
AT4G16860	DM8_RPP4-5	12.2944849115505	0.0296968234578515	0.0300359969892466	DM8_RPP4-5
AT4G16890	DM8_RPP4-5	5.69550173010385	0.0138576684430751	0.0140110598249743	DM8_RPP4-5
AT4G16900	DM8_RPP4-5	21.5806336774653	0.0521271344866311	0.0560482584885208	DM8_RPP4-5
AT4G16920	DM8_RPP4-5	10.8619430241052	0.0266224093728069	0.0266251806663443	DM8_RPP4-5
AT4G16940	DM8_RPP4-5	0	0	0	DM8_RPP4-5
AT4G16950	DM8_RPP4-5	3.66396604938274	0.0086008592708515	0.0087674016874666	DM8_RPP4-5
AT4G16960	DM8_RPP4-5	11.4535990481856	0.0272704739242514	0.0282828089440296	DM8_RPP4-5
AT4G16990	DM8_RPP4-5	3.45799853907961	0.00841362174958542	0.00841484416827602	DM8_RPP4-5
AT4G19500	RPP2	73.4850000000004	0.171293706293707	0.271482138316805	RPP2
AT4G19510	RPP2	0.664819944598337	0.00159429243308954	0.00159429243308954	RPP2
AT4G19520	RPP2	91.476146506617	0.206027356996885	0.264803858682277	RPP2
AT4G19530	RPP2	7.71111111111111	0.019039780521262	0.0193904764111427	RPP2
AT4G36140	singleton	95.2675342824714	0.224687580854885	0.296969815171304	cAT4G36140
AT4G36150	singleton	21.5744016649323	0.0524924614718548	0.0526047919777025	cAT4G36140
AT5G11250	singleton	5.42806752330558	0.0138118766496325	0.0138125439178611	singleton
AT5G17680	singleton	1.38627269929208	0.00352741144858035	0.00353787900569373	singleton
AT5G17880	CHS3	0.620752984389345	0.0015327234182453	0.00153272341824531	CHS3
AT5G17890	CHS3	7.64453125	0.0283130787037037	0.0283130787037037	CHS3
AT5G17970	CHS3	0.384999999999998	0.000936739659367391	0.000936739659367398	CHS3
AT5G18350	singleton	2.07020408163266	0.00500049295080353	0.00500049295080351	cAT5G18350
AT5G18360	singleton	1.0576171875	0.00261140046296296	0.00261140046296301	cAT5G18350
AT5G18370	singleton	1.26813590449955	0.00306313020410519	0.00312908088134059	cAT5G18350
AT5G22690	singleton	1.22592152199764	0.00298277742578502	0.00306174540434711	singleton
AT5G36930	singleton	1.61777777777778	0.00385185185185185	0.00385185185185186	singleton
AT5G38340	singleton	11.2188888888889	0.0283305274971942	0.0285940904139431	cAT5G38340
AT5G38344	singleton	15.8313344274711	0.0382399382306065	0.0398943542090707	cAT5G38340
AT5G38850	singleton	3.42611862643082	0.00852268315032542	0.00852350500359793	singleton
AT5G40090	singleton	0.579414135984947	0.00158309873219931	0.00158443059783605	cAT5G40090
AT5G40100	singleton	1.3141628594464	0.0031974765436652	0.00321402673528961	cAT5G40090
AT5G40910	DM1_SSI4	3.16345877621376	0.00769697999078773	0.00773078313779193	DM1_SSI4
AT5G41540	DM1_SSI4	0.445312500000002	0.00107563405797102	0.00107857932666065	DM1_SSI4
AT5G41550	DM1_SSI4	23.6957807041117	0.0572361852756321	0.0579574407840278	DM1_SSI4
AT5G41740	DM1_SSI4	14.7275383491599	0.0392734355977599	0.0394889876911401	DM1_SSI4
AT5G41750	DM1_SSI4	7.55837673611113	0.0182569486379496	0.0182770981995754	DM1_SSI4
AT5G44510	singleton	2.66756248320346	0.00658657403260113	0.00665936484582845	singleton
AT5G44870	singleton	12.8950403690888	0.031839605849602	0.031839605849602	singleton
AT5G45050	RPS4_TTR1	7.37325443786975	0.0282500170033324	0.028250017003332	TTR1
AT5G45060	RPS4_TTR1	9.50059171597629	0.0232857640097458	0.0232869955041903	TTR1
AT5G45200	RPS4_TTR1	2.93519619500594	0.007194108321093	0.00721986991019799	RPS4
AT5G45210	RPS4_TTR1	3.93555555555555	0.0105794504181601	0.0106960872162485	RPS4
