gene	cluster_old	pi	pi.alnlen	pi.pairalnlen	cluster
AT1G17600	SOC3	0.653485952133189	0.00158229044100046	0.00158229044100048	SOC3
AT1G17610	SOC3	3.50520291363161	0.00885152250917074	0.00885152250917084	SOC3
AT1G17615	SOC3	0.972134444125257	0.00229819017523701	0.00229819017523701	SOC3
AT1G27170	singleton	73.1056639999976	0.171207644028097	0.171207644028104	cAT1G27170
AT1G27180	singleton	89.6262000000018	0.20050604026846	0.200506040268457	cAT1G27170
AT1G31540	singleton	5.541015625	0.013614289004914	0.013614289004914	singleton
AT1G56510	B1_ADR2-WRR4	9.77999094612955	0.0235095936205037	0.0235095936205035	B1_ADR2-WRR4
AT1G56520	B1_ADR2-WRR4	20.3322664228012	0.0481807261203821	0.0481807261203826	B1_ADR2-WRR4
AT1G56540	B1_ADR2-WRR4	14.7851196670136	0.0354559224628623	0.0354559224628621	B1_ADR2-WRR4
AT1G63730	B4_RLM1	3.79777777777781	0.00908559276980338	0.00908559276980347	B4_RLM1
AT1G63740	B4_RLM1	6.15041617122465	0.014574445903376	0.014574445903376	B4_RLM1
AT1G63750	B4_RLM1	5.98555555555569	0.0144578636607625	0.0144578636607619	B4_RLM1
AT1G63860	B4_RLM1	26.8973214285712	0.0646570226648345	0.0646570226648349	B4_RLM1
AT1G63870	B4_RLM1	15.3702677747	0.0370367898185542	0.0370367898185539	B4_RLM1
AT1G63880	B4_RLM1	11.81103515625	0.0282560649671053	0.0282560649671056	B4_RLM1
AT1G64070	B4_RLM1	16.2161753590327	0.0391695056981465	0.0391695056981457	B4_RLM1
AT1G65850	singleton	76.9895215250598	0.130712260653752	0.130712260653755	singleton
AT1G66090	B1_ADR2-WRR4	2.91128696376512	0.00724200737255005	0.00724200737255	B1_ADR2-WRR4
AT1G69550	singleton	16.6713249126579	0.0399791964332324	0.0399791964332324	singleton
AT1G72840	B5	0	0	0	B5
AT1G72850	B5	0.710000000000001	0.00186351706036746	0.00186351706036745	B5
AT1G72860	B5	4.1360544217687	0.0100633927536951	0.0100633927536952	B5
AT1G72870	B5	5.04	0.0127272727272727	0.0127272727272727	B5
AT1G72890	B5	10.297304106828	0.0227313556442118	0.0227313556442116	B5
AT1G72900	B5	22.1476442428824	0.0523584970280909	0.0523584970280903	B5
AT1G72910	B5	2.36394557823129	0.00573773198599827	0.00573773198599831	B5
AT1G72920	B5	11.81982797646	0.027234626673871	0.0272346266738708	B5
AT1G72930	B5	10.3990929705215	0.0247009334216664	0.0247009334216665	B5
AT1G72940	B5	7.22903033908385	0.0172119769978187	0.0172119769978189	B5
AT1G72950	B5	4.91588282719704	0.0117886878350049	0.011788687835005	B5
AT2G14080	singleton	13.5551508844953	0.0327419103490226	0.0327419103490226	singleton
AT2G16870	singleton	41.3864197530865	0.09877427148708	0.0987742714870749	singleton
AT2G17050	singleton	16.91357421875	0.0403665255817422	0.0403665255817419	cAT2G17050
AT2G17060	singleton	3.15888888888891	0.00761178045515399	0.0076117804551541	cAT2G17050
AT3G04210	singleton	0.584319526627216	0.00142865409933305	0.00142865409933308	cAT3G04210
AT3G04220	singleton	3.07663896583564	0.00691379542884413	0.00691379542884419	cAT3G04210
AT3G25510	singleton	595.033126152607	0.397218375268763	0.397218375268759	singleton
AT3G44400	DM2_RPP1	33.2493074792243	0.0573263922055592	0.0573263922055592	DM2_RPP1
AT3G44480	DM2_RPP1	1.125	0.00271739130434783	0.00271739130434783	DM2_RPP1
AT3G44630	DM2_RPP1	80.687349783688	0.111292896253363	0.111292896253363	DM2_RPP1
AT3G44670	DM2_RPP1	17.6183821553346	0.0417497207472383	0.0417497207472385	DM2_RPP1
AT3G51560	LCD9	3.27492099971274	0.00902182093584778	0.00902182093584765	LCD9
AT3G51570	LCD9	1.81833333333334	0.00431908155186068	0.00431908155186069	LCD9
AT4G08450	singleton	0.575555555555548	0.00144249512670563	0.00144249512670566	singleton
AT4G09420	singleton	0.399653979238755	0.00101693124488233	0.00101693124488233	cAT4G09360
AT4G09430	singleton	14.4444444444444	0.0345560871876661	0.0345560871876662	cAT4G09360
AT4G11170	singleton	13.3705993012631	0.0315344323142998	0.0315344323142991	singleton
AT4G12010	singleton	22.4172335600908	0.0531214065404996	0.0531214065404991	cAT4G12010
AT4G12020	singleton	12.2162629757786	0.0355123923714494	0.0355123923714491	cAT4G12010
AT4G14370	singleton	13.3605619146722	0.0319630667815125	0.0319630667815124	singleton
AT4G16860	DM8_RPP4-5	18.7206035379813	0.0397465043269243	0.0397465043269241	DM8_RPP4-5
AT4G16890	DM8_RPP4-5	10.0968858131488	0.0245666321487805	0.0245666321487806	DM8_RPP4-5
AT4G16900	DM8_RPP4-5	33.1448914204341	0.0779879798127861	0.0779879798127869	DM8_RPP4-5
AT4G16920	DM8_RPP4-5	12.772826880935	0.0308522388428381	0.0308522388428382	DM8_RPP4-5
AT4G16940	DM8_RPP4-5	0	0	0	DM8_RPP4-5
AT4G16950	DM8_RPP4-5	7.71797839506169	0.0181173201762012	0.0181173201762013	DM8_RPP4-5
AT4G16960	DM8_RPP4-5	29.9943486020227	0.0669516709866578	0.0669516709866566	DM8_RPP4-5
AT4G16990	DM8_RPP4-5	5.07962016070124	0.0121813433110341	0.0121813433110341	DM8_RPP4-5
AT4G19500	RPP2	149.804999999999	0.349195804195802	0.349195804195805	RPP2
AT4G19510	RPP2	0.664819944598337	0.00159429243308954	0.00159429243308954	RPP2
AT4G19520	RPP2	141.52108341028	0.316601976309352	0.31660197630935	RPP2
AT4G19530	RPP2	15.7111111111111	0.0360346585117227	0.0360346585117228	RPP2
AT4G36140	singleton	148.421870905751	0.349227931542943	0.349227931542951	cAT4G36140
AT4G36150	singleton	22.780437044745	0.0554268541234673	0.0554268541234672	cAT4G36140
AT5G11250	singleton	6.69589317208355	0.0164923477144915	0.0164923477144916	singleton
AT5G17680	singleton	3.10987996306555	0.0077941853710916	0.00779418537109165	singleton
AT5G17880	CHS3	0.620752984389345	0.0015327234182453	0.00153272341824531	CHS3
AT5G17890	CHS3	9.091796875	0.0333032852564103	0.0333032852564102	CHS3
AT5G17970	CHS3	0.384999999999998	0.000936739659367391	0.000936739659367398	CHS3
AT5G18350	singleton	2.07020408163266	0.00500049295080353	0.00500049295080351	cAT5G18350
AT5G18360	singleton	1.39599609375	0.00335575984074519	0.00335575984074517	cAT5G18350
AT5G18370	singleton	11.4761248852157	0.0263818962878522	0.0263818962878527	cAT5G18350
AT5G22690	singleton	4.17419738406652	0.0101315470487051	0.0101315470487054	singleton
AT5G36930	singleton	1.61777777777778	0.00385185185185185	0.00385185185185186	singleton
AT5G38340	singleton	22.8133333333331	0.055104669887278	0.0551046698872792	cAT5G38340
AT5G38344	singleton	30.4325211463196	0.073508505184347	0.0735085051843473	cAT5G38340
AT5G38850	singleton	3.48959417273675	0.00868058251924565	0.0086805825192455	singleton
AT5G40090	singleton	3.25611394786345	0.00728437124801667	0.00728437124801665	cAT5G40090
AT5G40100	singleton	5.92582639075522	0.0143482479195042	0.0143482479195042	cAT5G40090
AT5G40910	DM1_SSI4	4.03677104280382	0.00982182735475383	0.00982182735475376	DM1_SSI4
AT5G40920	singleton	2.62181122448981	0.00637910273598493	0.00637910273598494	DM1_SSI4
AT5G41540	DM1_SSI4	3.21961805555554	0.0072350967540574	0.00723509675405748	DM1_SSI4
AT5G41550	DM1_SSI4	26.0790110185433	0.0629927802380272	0.0629927802380277	DM1_SSI4
AT5G41740	DM1_SSI4	18.81811541271	0.0451273750904317	0.0451273750904317	DM1_SSI4
AT5G41750	DM1_SSI4	7.98914930555561	0.0189766016759041	0.0189766016759043	DM1_SSI4
AT5G44510	singleton	6.85783391561411	0.0167673200870761	0.0167673200870758	singleton
AT5G44870	singleton	12.8950403690888	0.031839605849602	0.031839605849602	singleton
AT5G45050	RPS4_TTR1	7.37325443786975	0.0282500170033324	0.028250017003332	TTR1
AT5G45060	RPS4_TTR1	9.56118343195263	0.0233769766062411	0.0233769766062411	TTR1
AT5G45200	RPS4_TTR1	4.69619500594525	0.0109724182381898	0.0109724182381901	RPS4
AT5G45210	RPS4_TTR1	8.49166666666673	0.0224054529463502	0.0224054529463501	RPS4
AT5G45220	RPS4_TTR1	124.34210526316	0.211466165413537	0.211466165413534	RPS4
AT5G45230	RPS4_TTR1	0.36	0.000839160839160839	0.000839160839160839	RPS4
AT5G45250	RPS4_TTR1	2.22473246135553	0.00547963660432397	0.00547963660432393	RPS4
AT5G45260	RPS4_TTR1	1.57609988109395	0.00564910351646575	0.00564910351646577	RPS4
AT5G46260	RPS6	18.613574905354	0.0453989631837903	0.0453989631837909	RPS6
AT5G46270	RPS6	13.5824669187148	0.0337033918578531	0.0337033918578526	RPS6
AT5G46450	RPS6	3.16116058603852	0.00769138828719835	0.00769138828719825	RPS6
AT5G46470	RPS6	24.3378941106486	0.0589295256916431	0.0589295256916444	RPS6
AT5G46490	RPS6	8.21768707482994	0.0202905853699505	0.0202905853699505	RPS6
AT5G46510	RPS6	2.6485260770975	0.00645981970023781	0.00645981970023782	RPS6
AT5G46520	RPS6	16.2972651605232	0.0375513022131871	0.0375513022131871	RPS6
AT5G48770	singleton	0	0	0	cAT5G48770
AT5G48780	singleton	0.355555555555556	0.000858829844337091	0.000858829844337091	cAT5G48770
AT5G49140	singleton	0.567474048442909	0.00139086776579144	0.00139086776579143	singleton
AT5G51630	singleton	0.433106575963721	0.00104615114967082	0.00104615114967082	singleton
AT5G58120	singleton	11.6512975560596	0.0272226578412607	0.0272226578412602	singleton
