gene	cluster_old	pi	pi.alnlen	pi.pairalnlen	cluster
AT1G10920	singleton	1.95515243134288	0.0017256420400202	0.00178615182792205	singleton
AT1G12210	RPS5	13.2347026716459	0.0153534833777795	0.0161787990899814	RPS5
AT1G12220	RPS5	1.32686980609419	0.00143756208677593	0.00157987216711379	RPS5
AT1G12280	RPS5	2.44901144641	0.00289481258440898	0.00320745057539551	RPS5
AT1G12290	RPS5	1.75111111111112	0.00208465608465609	0.00210382459922479	RPS5
AT1G15890	singleton	1.22222222222222	0.00146024160361078	0.00146024160361078	singleton
AT1G17600	SOC3	0.53798126951093	0.00070787009146175	0.000733011984920182	SOC3
AT1G17610	SOC3	1.14134542705969	0.00175052979610382	0.00177574271596403	SOC3
AT1G17615	SOC3	0.340412434595258	0.00071816969323894	0.00073045332463713	SOC3
AT1G27170	singleton	1.06525573192239	0.00136922330581284	0.00137101641999136	cAT1G27170
AT1G27180	singleton	81.5544208546102	0.0864840093898306	0.22619863014816	cAT1G27170
AT1G31540	singleton	33.0886111111107	0.0435376461988298	0.046802784409054	singleton
AT1G33560	singleton	2.48105348024726	0.00280345026016639	0.00281970305555072	singleton
AT1G43180	singleton	3.99074403702386	0.00747330344011959	0.0142973564651767	singleton
AT1G50180	singleton	34.9816632231403	0.033063953897108	0.138112239800458	cAT1G50180
AT1G50210	singleton	8.16666666666666	0.0152363184079602	0.0209031705021589	cAT1G50180
AT1G51480	singleton	9.78511966701362	0.0111702279303808	0.0118883715063466	singleton
AT1G52660	singleton	0.650387819592077	0.00089585099117366	0.000895996169901363	singleton
AT1G53350	singleton	3.35953640715539	0.00287878012609716	0.00315440493035157	singleton
AT1G56510	B1_ADR2-WRR4	8.00887573964511	0.0104011373242144	0.0106573762425605	B1_ADR2-WRR4
AT1G56520	B1_ADR2-WRR4	51.4451880478839	0.0671608199058537	0.0839693737681457	B1_ADR2-WRR4
AT1G56540	B1_ADR2-WRR4	9.82520808561238	0.0122052274355433	0.0131131475984986	B1_ADR2-WRR4
AT1G57650	singleton	8.27739644970415	0.0112771068797059	0.0282737330837141	singleton
AT1G58390	DM6_RPP7	27.2741253364091	0.0225034037429118	0.0274561191939043	DM6_RPP7
AT1G58400	DM6_RPP7	17.7360285374554	0.0151202289321871	0.0160203528687813	DM6_RPP7
AT1G58410	DM6_RPP7	10.7733564013841	0.00924751622436402	0.0103815189572056	DM6_RPP7
AT1G58602	DM6_RPP7	14.4234404536862	0.0133180428935237	0.0136013510219438	DM6_RPP7
AT1G58807	DM6_RPP7	39.4450000000001	0.0354084380610414	0.0385022737179183	DM6_RPP7
AT1G58848	DM6_RPP7	9.44671201814057	0.00871467898352451	0.010275352410953	DM6_RPP7
AT1G59124	DM6_RPP7	39.4450000000001	0.0354084380610414	0.0385022737179183	DM6_RPP7
AT1G59218	DM6_RPP7	9.44671201814057	0.00871467898352451	0.010275352410953	DM6_RPP7
AT1G59620	singleton	46.2713992993588	0.03567571264407	0.190893783597489	singleton
AT1G59780	singleton	47.9617387607607	0.0191617014625492	0.169495221031363	singleton
AT1G61180	B3	3.61111111111111	0.00422352176738142	0.0120857699805068	B3
AT1G61190	B3	19.1900130643056	0.0221849862015093	0.023153847119504	B3
AT1G61300	B3	27.4583333333333	0.0315976217874952	0.0321432229195259	B3
AT1G61310	B3	30.1204637571872	0.0337673360506583	0.0374950939120629	B3
AT1G62630	B3	33.0211937716263	0.0331538090076569	0.0409524050609176	singleton
AT1G63350	B3	28.6396484375	0.0320712748460246	0.0387764058306973	cAT1G63350
AT1G63360	B3	74.9173177083334	0.0855220521784627	0.0926168434919599	cAT1G63350
AT1G63730	B4_RLM1	3.40284869658694	0.00431286273331678	0.0045645625098491	B4_RLM1
AT1G63740	B4_RLM1	2.25267538644473	0.0027914193140579	0.00301098160022432	B4_RLM1
AT1G63750	B4_RLM1	1.70760548239721	0.0022468493189437	0.00225470689192066	B4_RLM1
AT1G63860	B4_RLM1	42.6051092643894	0.0541360981758442	0.0547871699290776	B4_RLM1
AT1G63870	B4_RLM1	44.4783010156973	0.052637042622127	0.0600351821315239	B4_RLM1
AT1G63880	B4_RLM1	37.0361328125	0.0444078331085132	0.0500551744195441	B4_RLM1
AT1G64070	B4_RLM1	48.7268135904501	0.0539610338764675	0.0677979918586791	B4_RLM1
AT1G65850	singleton	51.8327388030134	0.0636765832960853	0.0674970112234071	singleton
AT1G66090	B1_ADR2-WRR4	24.0192233756246	0.0377660744899757	0.0380730933569006	B1_ADR2-WRR4
AT1G69550	singleton	24.02294921875	0.031198635349026	0.0323214802444911	singleton
AT1G72840	B5	51.920634920635	0.0776093197617863	0.103932777197643	B5
AT1G72850	B5	0.54	0.001	0.00100020614306329	B5
AT1G72852	singleton	0.54	0.001	0.00100020614306329	B5
AT1G72860	B5	4.02721088435374	0.0060197472112911	0.0060197472112911	B5
AT1G72870	B5	9.11111111111112	0.0138677490275664	0.0141784081217182	B5
AT1G72890	B5	6.82086167800445	0.013863539995944	0.0139485923885569	B5
AT1G72900	B5	6.10792899408271	0.0107533961163428	0.0119519652780485	B5
AT1G72910	B5	5.95529104369288	0.0123553756093213	0.0179777884012792	B5
AT1G72940	B5	2.55517578125	0.00461223065207581	0.00540334488821926	B5
AT1G72950	B5	1.38457403923677	0.0027309152647668	0.00273091526476674	B5
AT2G14080	singleton	18.1316337148804	0.0231566203255178	0.023537885857641	singleton
AT2G16870	singleton	5.26416015625	0.00678371154155928	0.00694410516895826	singleton
AT2G17050	singleton	7.17637877211243	0.0103406034180294	0.0108838206739558	cAT2G17050
AT2G17060	singleton	2.5697393173878	0.00346793430146802	0.00347879598599448	cAT2G17050
AT3G04210	singleton	1.92310430758275	0.00287459537755269	0.00287921096145526	cAT3G04210
AT3G04220	singleton	2.00430901815942	0.00264420714796757	0.00266747913775814	cAT3G04210
AT3G07040	singleton	0.445153061224492	0.000498491669904247	0.000516813513055335	singleton
AT3G14460	singleton	9.01131687242777	0.0112081055627211	0.0280784030814381	cAT314460
AT3G14470	singleton	10.5122222222224	0.0115139345259829	0.0123745324191342	cAT314460
AT3G15700	singleton	1.31855955678669	0.00173723261763728	0.00174320150285966	singleton
AT3G25510	singleton	100.93066380006	0.120012679904946	0.131556465289593	singleton
AT3G44400	DM2_RPP1	45.8645575877424	0.058426188009863	0.0677262226883139	DM2_RPP1
AT3G44480	DM2_RPP1	36.2400779157535	0.0433493754973127	0.0509138803492449	DM2_RPP1
AT3G44630	DM2_RPP1	41.80282924064	0.0528480774217952	0.0598445641042912	DM2_RPP1
AT3G44670	DM2_RPP1	8.02777777777778	0.0102264685067233	0.0105675246529905	DM2_RPP1
AT3G46530	RPP13	109.582222222224	0.0972335600907046	0.182088521373449	RPP13
AT3G46710	RPP13	3.13580246913575	0.00370662230394297	0.00376564256609116	RPP13
AT3G46730	RPP13	14.2941176470588	0.016601762656282	0.0166037066456492	RPP13
AT3G50950	singleton	2.98595213319459	0.00344400476723713	0.00349647006261715	singleton
AT3G51560	LCD9	2.02111111111111	0.0028070987654321	0.00280732198952917	LCD9
AT3G51570	LCD9	1.03954214360042	0.00126158027135973	0.00139741681292329	LCD9
AT4G08450	singleton	1.53590325018894	0.00207274392738048	0.00208692293313531	singleton
AT4G09360	singleton	2.38661445354218	0.00355680246429535	0.00364621985794167	cAT4G09360
AT4G09420	singleton	1.46366782006921	0.00220764377084345	0.00220764377084346	cAT4G09360
AT4G09430	singleton	1.20880428316478	0.00183708857623827	0.00215515583624317	cAT4G09360
AT4G10780	singleton	4.49173553719008	0.00532196153695507	0.00532196153695509	singleton
AT4G11170	singleton	10.0306369255576	0.0124449589647117	0.0125369362549542	singleton
AT4G12010	singleton	13.6594444444444	0.0184337981706403	0.0188018984127185	cAT4G12010
AT4G12020	singleton	12.1314878892734	0.0188963985814227	0.0207512417967044	cAT4G12010
AT4G14370	singleton	19.5208116545266	0.0247726036224956	0.0256532934000805	singleton
AT4G16860	DM8_RPP4-5	23.9709727028066	0.0317917409851546	0.034039116759479	DM8_RPP4-5
AT4G16890	DM8_RPP4-5	25.9256055363322	0.0332806232815561	0.0466174245981951	DM8_RPP4-5
AT4G16900	DM8_RPP4-5	40.5930936276254	0.0529245027739575	0.0624789748241081	DM8_RPP4-5
AT4G16920	DM8_RPP4-5	17.3471074380166	0.0236659037353568	0.0248946711714549	DM8_RPP4-5
AT4G16930	DM8_RPP4-5	1.5	0.00250836120401338	0.00251256281407035	DM8_RPP4-5
AT4G16940	DM8_RPP4-5	30.4555029585796	0.0377859838195777	0.0444588609279077	DM8_RPP4-5
AT4G16950	DM8_RPP4-5	24.2678571428571	0.0309538994169096	0.0373621422507495	DM8_RPP4-5
AT4G16960	DM8_RPP4-5	30.4555029585796	0.0377859838195777	0.0444588609279077	DM8_RPP4-5
AT4G16990	DM8_RPP4-5	2.34722222222223	0.00340177133655395	0.00349345150030461	DM8_RPP4-5
AT4G19500	RPP2	156.45111111111	0.173065388397246	0.283046594993877	RPP2
AT4G19510	RPP2	1.7174515235457	0.00233666873951797	0.00233666873951797	RPP2
AT4G19520	RPP2	4.33673469387755	0.00609091951387296	0.00632238815213399	RPP2
AT4G19530	RPP2	2.32444444444444	0.00305045202682997	0.00305045202682997	RPP2
AT4G26090	singleton	4.00146484375	0.00471315058156655	0.004713390669187	singleton
AT4G26095	singleton	4.00146484375	0.00471315058156655	0.004713390669187	singleton
AT4G27190	singleton	3.05826397146254	0.00368022138563483	0.0040710892006651	cAT4G27190
AT4G27220	singleton	4.52295918367347	0.00577644851043866	0.00581893334514377	cAT4G27190
